,canonical_smiles,standard_value
0,CC(C)(C(=O)c1cccnc1)c2cccnc2,11.18
1,CN(CC(=O)O)NC(=O)C[C@H](N)C[C@@H](O)CN,12.63
2,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F,14.229999999999999
3,CCN(CC)CCNC(=O)c1ccc(NS(=O)(=O)C)cc1,15.100000000000003
4,COc1ccc(cc1)C(CN(C)C)C2(O)CCCCC2,18.639999999999997
5,CN1C=CNC1=S,18.990000000000002
6,CN1N(C(=O)C=C1C)c2ccccc2,19.349999999999994
7,CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H]1C(=O)N(C)CCc2ccccc12,19.709999999999994
8,ClCCN(CCCl)P1(=O)NCCCO1,20.08
9,CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@@H]2C=C[C@@H]4O)c35,20.830000000000002
10,Cc1cc(C)nc(SCC(=O)N)n1,21.21
11,COc1ccc(OC)c(c1)C(O)CN,21.99
12,CC(N1CCCCC1)(C(=O)OC2CC[N+](C)(C)CC2)c3ccccc3,21.99
13,C[C@@](N1CCCCC1)(C(=O)O[C@H]2C[N+]3(CCCc4cncnc4)CCC2CC3)c5ccccc5,22.379999999999992
14,CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(N3CCOCC3)c(F)c2,22.789999999999992
15,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,22.789999999999992
16,N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc3cc(F)c(F)cc3F,23.189999999999998
17,Cc1cc(CCC[N+]23CCC(CC2)[C@H](C3)OC(=O)[C@@](C)(N4CCCCC4)c5ccccc5)ccn1,23.189999999999998
18,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc4cccnc24)CC1,24.030000000000005
19,CN1C(=O)N(C)c2ncn(C)c2C1=O,24.449999999999992
20,CC1N=C(N)N=C(N)N1c2ccc(Cl)cc2,25.310000000000002
21,CC(=O)Nc1ccc(O)cc1,26.63999999999999
22,NC(=N)NC(=O)c1nc(Cl)c(N)nc1N,27.09
